date,total_count,lineage_count,lineage,prevalence,prevalence_rolling,Country
2020-03-06,22,1,a,0.0454545454545455,0.0525986224170319,Netherlands
2020-03-07,0,0,a,0,0.0281049250535332,Netherlands
2020-03-08,26,1,a,0.0384615384615385,0.0330305532617671,Netherlands
2020-03-09,0,0,a,0,0.0183022485619662,Netherlands
2020-03-10,45,2,a,0.0444444444444444,0.0280561122244489,Netherlands
2020-03-11,0,0,a,0,0.0218408736349454,Netherlands
2020-03-12,0,0,a,0,0.0163098878695209,Netherlands
2020-03-13,0,0,a,0,0.0125365649811952,Netherlands
2020-03-14,0,0,a,0,0.0124913254684247,Netherlands
2020-03-15,0,0,a,0,0.00916730328495034,Netherlands
2020-03-16,29,2,a,0.0689655172413793,0.0211976682564918,Netherlands
2020-03-17,0,0,a,0,0.0109629088251416,Netherlands
2020-03-18,0,0,a,0,0.0113744075829384,Netherlands
2020-03-19,0,0,a,0,0.0100882723833544,Netherlands
2020-03-20,0,0,a,0,0.010515247108307,Netherlands
2020-03-21,0,0,a,0,0.010018367006178,Netherlands
2020-03-22,0,0,a,0,0.00928433268858801,Netherlands
2020-03-23,0,0,a,0,0,Netherlands
2020-03-24,0,0,a,0,0,Netherlands
2020-03-25,0,0,a,0,0,Netherlands
2020-03-26,0,0,a,0,0,Netherlands
2020-03-27,0,0,a,0,0,Netherlands
2020-03-28,0,0,a,0,0,Netherlands
2020-03-29,0,0,a,0,0,Netherlands
2020-03-30,0,0,a,0,0,Netherlands
2020-03-31,0,0,a,0,0,Netherlands
2020-04-01,0,0,a,0,0,Netherlands
2020-04-02,0,0,a,0,0,Netherlands
2020-04-03,0,0,a,0,0,Netherlands
2020-04-04,0,0,a,0,0,Netherlands
2020-04-05,0,0,a,0,0,Netherlands
2020-04-06,0,0,a,0,0,Netherlands
2020-04-07,0,0,a,0,0,Netherlands
2020-04-08,0,0,a,0,0,Netherlands
2020-04-09,20,1,a,0.05,0.00441371193173459,Netherlands
2020-04-10,0,0,a,0,0.00485436893203884,Netherlands
2020-04-11,0,0,a,0,0.0049862877088008,Netherlands
2020-04-12,0,0,a,0,0.00488440247476392,Netherlands
2020-04-13,0,0,a,0,0.00559701492537313,Netherlands
2020-04-14,0,0,a,0,0.00557620817843866,Netherlands
2020-04-15,0,0,a,0,0.00570613409415121,Netherlands
2020-04-16,0,0,a,0,0,Netherlands
2020-04-17,0,0,a,0,0,Netherlands
2020-04-18,0,0,a,0,0,Netherlands
2020-04-19,0,0,a,0,0,Netherlands
2020-04-20,0,0,a,0,0,Netherlands
2020-04-21,0,0,a,0,0,Netherlands
2020-04-22,0,0,a,0,0,Netherlands
2020-04-23,0,0,a,0,0,Netherlands
2020-04-24,0,0,a,0,0,Netherlands
2020-04-25,0,0,a,0,0,Netherlands
2020-04-26,0,0,a,0,0,Netherlands
2020-04-27,0,0,a,0,0,Netherlands
2020-04-28,0,0,a,0,0,Netherlands
2020-04-29,0,0,a,0,0,Netherlands
2020-04-30,0,0,a,0,0,Netherlands
2020-05-01,0,0,a,0,0,Netherlands
2020-05-02,0,0,a,0,0,Netherlands
2020-05-03,0,0,a,0,0,Netherlands
2020-05-04,0,0,a,0,0,Netherlands
2020-05-05,0,0,a,0,0,Netherlands
2020-05-06,0,0,a,0,0,Netherlands
2020-05-07,0,0,a,0,0,Netherlands
2020-05-08,0,0,a,0,0,Netherlands
2020-05-09,0,0,a,0,0,Netherlands
2020-05-10,0,0,a,0,0,Netherlands
2020-05-11,0,0,a,0,0,Netherlands
2020-05-12,0,0,a,0,0,Netherlands
2020-05-13,0,0,a,0,0,Netherlands
2020-05-14,0,0,a,0,0,Netherlands
2020-05-15,0,0,a,0,0,Netherlands
2020-05-16,0,0,a,0,0,Netherlands
2020-05-17,0,0,a,0,0,Netherlands
2020-05-18,0,0,a,0,0,Netherlands
2020-05-19,0,0,a,0,0,Netherlands
2020-05-20,0,0,a,0,0,Netherlands
2020-05-21,0,0,a,0,0,Netherlands
2020-05-22,0,0,a,0,0,Netherlands
2020-05-23,0,0,a,0,0,Netherlands
2020-05-24,0,0,a,0,0,Netherlands
2020-05-25,0,0,a,0,0,Netherlands
2020-05-26,0,0,a,0,0,Netherlands
2020-05-27,0,0,a,0,0,Netherlands
2020-05-28,0,0,a,0,0,Netherlands
2020-05-29,0,0,a,0,0,Netherlands
2020-05-30,0,0,a,0,0,Netherlands
2020-05-31,0,0,a,0,0,Netherlands
2020-06-01,0,0,a,0,0,Netherlands
2020-06-02,0,0,a,0,0,Netherlands
2020-06-03,0,0,a,0,0,Netherlands
2020-06-04,0,0,a,0,0,Netherlands
2020-06-05,0,0,a,0,0,Netherlands
2020-06-06,0,0,a,0,0,Netherlands
2020-06-07,0,0,a,0,0,Netherlands
2020-06-08,0,0,a,0,0,Netherlands
2020-06-09,0,0,a,0,0,Netherlands
2020-06-10,0,0,a,0,0,Netherlands
2020-06-11,0,0,a,0,0,Netherlands
2020-06-12,0,0,a,0,0,Netherlands
2020-06-13,0,0,a,0,0,Netherlands
2020-06-14,0,0,a,0,0,Netherlands
2020-06-15,0,0,a,0,0,Netherlands
2020-06-16,0,0,a,0,0,Netherlands
2020-06-17,0,0,a,0,0,Netherlands
2020-06-18,0,0,a,0,0,Netherlands
2020-06-19,0,0,a,0,0,Netherlands
2020-06-20,0,0,a,0,0,Netherlands
2020-06-21,0,0,a,0,0,Netherlands
2020-06-22,0,0,a,0,0,Netherlands
2020-06-23,0,0,a,0,0,Netherlands
2020-06-24,0,0,a,0,0,Netherlands
2020-06-25,0,0,a,0,0,Netherlands
2020-06-26,0,0,a,0,0,Netherlands
2020-06-27,0,0,a,0,0,Netherlands
2020-06-28,0,0,a,0,0,Netherlands
2020-06-29,0,0,a,0,0,Netherlands
2020-06-30,0,0,a,0,0,Netherlands
2020-07-01,0,0,a,0,0,Netherlands
2020-07-02,0,0,a,0,0,Netherlands
2020-07-03,0,0,a,0,0,Netherlands
2020-07-04,0,0,a,0,0,Netherlands
2020-07-05,0,0,a,0,0,Netherlands
2020-07-06,0,0,a,0,0,Netherlands
2020-07-07,0,0,a,0,0,Netherlands
2020-07-08,0,0,a,0,0,Netherlands
2020-07-09,0,0,a,0,0,Netherlands
2020-07-10,0,0,a,0,0,Netherlands
2020-07-11,0,0,a,0,0,Netherlands
2020-07-12,0,0,a,0,0,Netherlands
2020-07-13,0,0,a,0,0,Netherlands
2020-07-14,0,0,a,0,0,Netherlands
2020-07-15,0,0,a,0,0,Netherlands
2020-07-16,0,0,a,0,0,Netherlands
2020-07-17,0,0,a,0,0,Netherlands
2020-07-18,0,0,a,0,0,Netherlands
2020-07-19,0,0,a,0,0,Netherlands
2020-07-20,0,0,a,0,0,Netherlands
2020-07-21,0,0,a,0,0,Netherlands
2020-07-22,0,0,a,0,0,Netherlands
2020-07-23,0,0,a,0,0,Netherlands
2020-07-24,0,0,a,0,0,Netherlands
2020-07-25,0,0,a,0,0,Netherlands
2020-07-26,0,0,a,0,0,Netherlands
2020-07-27,0,0,a,0,0,Netherlands
2020-07-28,0,0,a,0,0,Netherlands
2020-07-29,0,0,a,0,0,Netherlands
2020-07-30,0,0,a,0,0,Netherlands
2020-07-31,0,0,a,0,0,Netherlands
2020-08-01,0,0,a,0,0,Netherlands
2020-08-02,0,0,a,0,0,Netherlands
2020-08-03,0,0,a,0,0,Netherlands
2020-08-04,0,0,a,0,0,Netherlands
2020-08-05,0,0,a,0,0,Netherlands
2020-08-06,0,0,a,0,0,Netherlands
2020-08-07,0,0,a,0,0,Netherlands
2020-08-08,0,0,a,0,0,Netherlands
2020-08-09,0,0,a,0,0,Netherlands
2020-08-10,0,0,a,0,0,Netherlands
2020-08-11,0,0,a,0,0,Netherlands
2020-08-12,0,0,a,0,0,Netherlands
2020-08-13,0,0,a,0,0,Netherlands
2020-08-14,0,0,a,0,0,Netherlands
2020-08-15,0,0,a,0,0,Netherlands
2020-08-16,0,0,a,0,0,Netherlands
2020-08-17,0,0,a,0,0,Netherlands
2020-08-18,0,0,a,0,0,Netherlands
2020-08-19,0,0,a,0,0,Netherlands
2020-08-20,0,0,a,0,0,Netherlands
2020-08-21,0,0,a,0,0,Netherlands
2020-08-22,0,0,a,0,0,Netherlands
2020-08-23,0,0,a,0,0,Netherlands
2020-08-24,0,0,a,0,0,Netherlands
2020-08-25,0,0,a,0,0,Netherlands
2020-08-26,0,0,a,0,0,Netherlands
2020-08-27,0,0,a,0,0,Netherlands
2020-08-28,0,0,a,0,0,Netherlands
2020-08-29,0,0,a,0,0,Netherlands
2020-08-30,0,0,a,0,0,Netherlands
2020-08-31,0,0,a,0,0,Netherlands
2020-09-01,0,0,a,0,0,Netherlands
2020-09-02,0,0,a,0,0,Netherlands
2020-09-03,0,0,a,0,0,Netherlands
2020-09-04,0,0,a,0,0,Netherlands
2020-09-05,0,0,a,0,0,Netherlands
2020-09-06,0,0,a,0,0,Netherlands
2020-09-07,0,0,a,0,0,Netherlands
2020-09-08,0,0,a,0,0,Netherlands
2020-09-09,0,0,a,0,0,Netherlands
2020-09-10,0,0,a,0,0,Netherlands
2020-09-11,0,0,a,0,0,Netherlands
2020-09-12,0,0,a,0,0,Netherlands
2020-09-13,0,0,a,0,0,Netherlands
2020-09-14,0,0,a,0,0,Netherlands
2020-09-15,0,0,a,0,0,Netherlands
2020-09-16,0,0,a,0,0,Netherlands
2020-09-17,0,0,a,0,0,Netherlands
2020-09-18,0,0,a,0,0,Netherlands
2020-09-19,0,0,a,0,0,Netherlands
2020-09-20,0,0,a,0,0,Netherlands
2020-09-21,0,0,a,0,0,Netherlands
2020-09-22,0,0,a,0,0,Netherlands
2020-09-23,0,0,a,0,0,Netherlands
2020-09-24,0,0,a,0,0,Netherlands
2020-09-25,0,0,a,0,0,Netherlands
2020-09-26,0,0,a,0,0,Netherlands
2020-09-27,0,0,a,0,0,Netherlands
2020-09-28,0,0,a,0,0,Netherlands
2020-09-29,0,0,a,0,0,Netherlands
2020-09-30,0,0,a,0,0,Netherlands
2020-10-01,0,0,a,0,0,Netherlands
2020-10-02,0,0,a,0,0,Netherlands
2020-10-03,0,0,a,0,0,Netherlands
2020-10-04,0,0,a,0,0,Netherlands
