"","X.18426.","X.29.","X.0.000413223140495868.","X.0.0204545454545454.","X.0.136363636363636.","X.3.29318181818182e.06.","X.5.11363636363636e.05.","X.0.000143181818181818.","X.3.29318181818182e.05.","X.Low.Risk."
"1","19094","191","0.00272157309774865","0.134717868338558","0.898119122257053","2.16895768025078e-05","0.000336794670846395","0.000943025078369906","0.000216895768025078","Medium Risk"
"15","19093","183","0.00260758050726703","0.129075235109718","0.860501567398119","2.07811128526646e-05","0.000322688087774295","0.000903526645768025","0.000207811128526646","Medium Risk"
"29","19092","183","0.00260758050726703","0.129075235109718","0.860501567398119","2.07811128526646e-05","0.000322688087774295","0.000903526645768025","0.000207811128526646","Medium Risk"
"43","19091","183","0.00260758050726703","0.129075235109718","0.860501567398119","2.07811128526646e-05","0.000322688087774295","0.000903526645768025","0.000207811128526646","Medium Risk"
"57","19090","163","0.00232259903106298","0.114968652037618","0.766457680250784","1.85099529780564e-05","0.000287421630094044","0.000804780564263323","0.000185099529780564","Medium Risk"
"71","19089","165","0.00235109717868339","0.116379310344828","0.775862068965517","1.87370689655172e-05","0.000290948275862069","0.000814655172413793","0.000187370689655172","Medium Risk"
"85","19088","166","0.00236534625249359","0.117084639498433","0.780564263322884","1.88506269592476e-05","0.000292711598746081","0.000819592476489028","0.000188506269592476","Medium Risk"
"99","19087","166","0.00236534625249359","0.117084639498433","0.780564263322884","1.88506269592476e-05","0.000292711598746081","0.000819592476489028","0.000188506269592476","Medium Risk"
"113","19086","170","0.0024223425477344","0.119905956112853","0.799373040752351","1.93048589341693e-05","0.000299764890282132","0.000839341692789968","0.000193048589341693","Medium Risk"
"127","19085","170","0.0024223425477344","0.119905956112853","0.799373040752351","1.93048589341693e-05","0.000299764890282132","0.000839341692789968","0.000193048589341693","Medium Risk"
"141","19084","170","0.0024223425477344","0.119905956112853","0.799373040752351","1.93048589341693e-05","0.000299764890282132","0.000839341692789968","0.000193048589341693","Medium Risk"
"155","19083","152","0.00216585921915076","0.107210031347962","0.714733542319749","1.72608150470219e-05","0.000268025078369906","0.000750470219435736","0.000172608150470219","Medium Risk"
"169","19082","150","0.00213736107153035","0.105799373040752","0.705329153605015","1.70336990595611e-05","0.000264498432601881","0.000740595611285266","0.000170336990595611","Medium Risk"
"183","19081","143","0.00203761755485893","0.100862068965517","0.672413793103448","1.62387931034483e-05","0.000252155172413793","0.000706034482758621","0.000162387931034483","Medium Risk"
"197","19080","147","0.00209461385009974","0.103683385579937","0.691222570532915","1.66930250783699e-05","0.000259208463949843","0.000725783699059561","0.000166930250783699","Medium Risk"
"211","19079","131","0.00186662866913651","0.092398119122257","0.615987460815047","1.48760971786834e-05","0.000230995297805643","0.000646786833855799","0.000148760971786834","Low Risk"
"225","19078","131","0.00186662866913651","0.092398119122257","0.615987460815047","1.48760971786834e-05","0.000230995297805643","0.000646786833855799","0.000148760971786834","Low Risk"
"239","19077","131","0.00186662866913651","0.092398119122257","0.615987460815047","1.48760971786834e-05","0.000230995297805643","0.000646786833855799","0.000148760971786834","Low Risk"
"253","19076","122","0.00173838700484469","0.0860501567398119","0.573667711598746","1.38540752351097e-05","0.00021512539184953","0.000602351097178683","0.000138540752351097","Low Risk"
"267","19075","114","0.00162439441436307","0.0804075235109718","0.536050156739812","1.29456112852665e-05","0.000201018808777429","0.000562852664576802","0.000129456112852665","Low Risk"
"281","19074","114","0.00162439441436307","0.0804075235109718","0.536050156739812","1.29456112852665e-05","0.000201018808777429","0.000562852664576802","0.000129456112852665","Low Risk"
"295","19073","112","0.00159589626674266","0.0789968652037617","0.526645768025078","1.27184952978056e-05","0.000197492163009404","0.000552978056426332","0.000127184952978056","Low Risk"
"309","19072","86","0.0012254203476774","0.0606583072100313","0.404388714733542","9.76598746081504e-06","0.000151645768025078","0.000424608150470219","9.76598746081505e-05","Low Risk"
"323","19071","86","0.0012254203476774","0.0606583072100313","0.404388714733542","9.76598746081504e-06","0.000151645768025078","0.000424608150470219","9.76598746081505e-05","Low Risk"
"337","19070","86","0.0012254203476774","0.0606583072100313","0.404388714733542","9.76598746081504e-06","0.000151645768025078","0.000424608150470219","9.76598746081505e-05","Low Risk"
"351","19069","94","0.00133941293815902","0.0663009404388715","0.442006269592476","1.06744514106583e-05","0.000165752351097179","0.0004641065830721","0.000106744514106583","Low Risk"
"365","19068","80","0.00113992590481619","0.0564263322884012","0.376175548589342","9.0846394984326e-06","0.000141065830721003","0.000394984326018809","9.0846394984326e-05","Low Risk"
"379","19067","86","0.0012254203476774","0.0606583072100313","0.404388714733542","9.76598746081504e-06","0.000151645768025078","0.000424608150470219","9.76598746081505e-05","Low Risk"
"393","19066","86","0.0012254203476774","0.0606583072100313","0.404388714733542","9.76598746081504e-06","0.000151645768025078","0.000424608150470219","9.76598746081505e-05","Low Risk"
"407","19065","93","0.00132516386434882","0.0655956112852664","0.43730407523511","1.05608934169279e-05","0.000163989028213166","0.000459169278996865","0.000105608934169279","Low Risk"
"421","19064","93","0.00132516386434882","0.0655956112852664","0.43730407523511","1.05608934169279e-05","0.000163989028213166","0.000459169278996865","0.000105608934169279","Low Risk"
"435","19063","93","0.00132516386434882","0.0655956112852664","0.43730407523511","1.05608934169279e-05","0.000163989028213166","0.000459169278996865","0.000105608934169279","Low Risk"
"449","19062","106","0.00151040182388145","0.0747648902821316","0.498432601880878","1.20371473354232e-05","0.000186912225705329","0.000523354231974921","0.000120371473354232","Low Risk"
"463","19061","121","0.00172413793103448","0.0853448275862069","0.568965517241379","1.37405172413793e-05","0.000213362068965517","0.000597413793103448","0.000137405172413793","Low Risk"
"477","19060","128","0.0018238814477059","0.090282131661442","0.601880877742947","1.45354231974922e-05","0.000225705329153605","0.000631974921630094","0.000145354231974922","Low Risk"
"491","19059","178","0.00253633513821602","0.125548589341693","0.836990595611285","2.02133228840125e-05","0.000313871473354232","0.000878840125391849","0.000202133228840125","Medium Risk"
"505","19058","164","0.00233684810487318","0.115673981191223","0.77115987460815","1.86235109717868e-05","0.000289184952978056","0.000809717868338558","0.000186235109717868","Medium Risk"
"519","19057","164","0.00233684810487318","0.115673981191223","0.77115987460815","1.86235109717868e-05","0.000289184952978056","0.000809717868338558","0.000186235109717868","Medium Risk"
"533","19056","164","0.00233684810487318","0.115673981191223","0.77115987460815","1.86235109717868e-05","0.000289184952978056","0.000809717868338558","0.000186235109717868","Medium Risk"
"547","19055","168","0.00239384440011399","0.118495297805643","0.789968652037617","1.90777429467085e-05","0.000296238244514107","0.000829467084639498","0.000190777429467085","Medium Risk"
"561","19054","197","0.00280706754060986","0.138949843260188","0.926332288401254","2.23709247648903e-05","0.00034737460815047","0.000972648902821316","0.000223709247648903","Medium Risk"
"575","19053","200","0.00284981476204047","0.141065830721003","0.940438871473354","2.27115987460815e-05","0.000352664576802508","0.000987460815047022","0.000227115987460815","Medium Risk"
"589","19052","220","0.00313479623824451","0.155172413793103","1.03448275862069","2.49827586206896e-05","0.000387931034482759","0.00108620689655172","0.000249827586206896","Medium Risk"
"603","19051","254","0.00361926474779139","0.179153605015674","1.19435736677116","2.88437304075235e-05","0.000447884012539185","0.00125407523510972","0.000288437304075235","Medium Risk"
"617","19050","254","0.00361926474779139","0.179153605015674","1.19435736677116","2.88437304075235e-05","0.000447884012539185","0.00125407523510972","0.000288437304075235","Medium Risk"
"631","19049","254","0.00361926474779139","0.179153605015674","1.19435736677116","2.88437304075235e-05","0.000447884012539185","0.00125407523510972","0.000288437304075235","Medium Risk"
"645","19048","301","0.0042889712168709","0.21230407523511","1.4153605015674","3.41809561128526e-05","0.000530760188087774","0.00148612852664577","0.000341809561128526","Medium Risk"
"659","19047","325","0.00463094898831576","0.22923197492163","1.5282131661442","3.69063479623824e-05","0.000573079937304075","0.00160462382445141","0.000369063479623824","Medium Risk"
"673","19046","351","0.00500142490738102","0.24757053291536","1.65047021943574","3.9858855799373e-05","0.000618926332288401","0.00173299373040752","0.00039858855799373","Medium Risk"
"687","19045","315","0.00448845825021374","0.22217868338558","1.48119122257053","3.57707680250784e-05","0.00055544670846395","0.00155525078369906","0.000357707680250784","Medium Risk"
"701","19044","438","0.00624109432886862","0.308934169278997","2.05956112852665","4.97384012539185e-05","0.000772335423197492","0.00216253918495298","0.000497384012539185","Medium Risk"
"715","19043","438","0.00624109432886862","0.308934169278997","2.05956112852665","4.97384012539185e-05","0.000772335423197492","0.00216253918495298","0.000497384012539185","Medium Risk"
"729","19042","438","0.00624109432886862","0.308934169278997","2.05956112852665","4.97384012539185e-05","0.000772335423197492","0.00216253918495298","0.000497384012539185","Medium Risk"
"743","19041","511","0.00728127671701339","0.360423197492163","2.40282131661442","5.80281347962382e-05","0.000901057993730407","0.00252296238244514","0.000580281347962382","Medium Risk"
"757","19040","560","0.00797948133371331","0.394984326018809","2.63322884012539","6.35924764890282e-05","0.000987460815047022","0.00276489028213166","0.000635924764890282","Medium Risk"
"771","19039","632","0.00900541464804788","0.44576802507837","2.9717868338558","7.17686520376175e-05","0.00111442006269592","0.00312037617554859","0.000717686520376175","Medium Risk"
"785","19038","666","0.00948988315759476","0.46974921630094","3.13166144200627","7.56296238244514e-05","0.00117437304075235","0.00328824451410658","0.000756296238244514","Medium Risk"
"799","19037","806","0.0114847534910231","0.568495297805642","3.78996865203762","9.15277429467084e-05","0.00142123824451411","0.0039794670846395","0.000915277429467084","Medium Risk"
"813","19036","806","0.0114847534910231","0.568495297805642","3.78996865203762","9.15277429467084e-05","0.00142123824451411","0.0039794670846395","0.000915277429467084","Medium Risk"
"827","19035","806","0.0114847534910231","0.568495297805642","3.78996865203762","9.15277429467084e-05","0.00142123824451411","0.0039794670846395","0.000915277429467084","Medium Risk"
"841","19034","845","0.012040467369621","0.596003134796238","3.97335423197492","9.59565047021943e-05","0.0014900078369906","0.00417202194357367","0.000959565047021943","Medium Risk"
"855","19033","911","0.0129809062410943","0.642554858934169","4.28369905956113","0.000103451332288401","0.00160638714733542","0.00449788401253918","0.00103451332288401","Medium Risk"
"869","19032","997","0.0142063265887717","0.7032131661442","4.68808777429467","0.000113217319749216","0.0017580329153605","0.0049224921630094","0.00113217319749216","Medium Risk"
"883","19031","1029","0.0146622969506982","0.725783699059561","4.83855799373041","0.000116851175548589","0.0018144592476489","0.00508048589341693","0.00116851175548589","Medium Risk"
"897","19030","1246","0.0177543459675121","0.878840125391849","5.858934169279","0.000141493260188088","0.00219710031347962","0.00615188087774294","0.00141493260188088","Medium Risk"
"911","19029","1246","0.0177543459675121","0.878840125391849","5.858934169279","0.000141493260188088","0.00219710031347962","0.00615188087774294","0.00141493260188088","Medium Risk"
"925","19028","1246","0.0177543459675121","0.878840125391849","5.858934169279","0.000141493260188088","0.00219710031347962","0.00615188087774294","0.00141493260188088","Medium Risk"
"939","19027","1348","0.0192077514961527","0.950783699059561","6.33855799373041","0.000153076175548589","0.0023769592476489","0.00665548589341693","0.00153076175548589","Medium Risk"
"953","19026","1458","0.020775149615275","1.02836990595611","6.85579937304075","0.000165567554858934","0.00257092476489028","0.00719858934169279","0.00165567554858934","High Risk"
