iso_code,continent,location,date,total_cases,new_cases,total_deaths,new_deaths
NPL,Asia,Nepal,2020-01-05,,0.0,,0.0
NPL,Asia,Nepal,2020-01-06,,0.0,,0.0
NPL,Asia,Nepal,2020-01-07,,0.0,,0.0
NPL,Asia,Nepal,2020-01-08,,0.0,,0.0
NPL,Asia,Nepal,2020-01-09,,0.0,,0.0
NPL,Asia,Nepal,2020-01-10,,0.0,,0.0
NPL,Asia,Nepal,2020-01-11,,0.0,,0.0
NPL,Asia,Nepal,2020-01-12,,0.0,,0.0
NPL,Asia,Nepal,2020-01-13,,0.0,,0.0
NPL,Asia,Nepal,2020-01-14,,0.0,,0.0
NPL,Asia,Nepal,2020-01-15,,0.0,,0.0
NPL,Asia,Nepal,2020-01-16,,0.0,,0.0
NPL,Asia,Nepal,2020-01-17,,0.0,,0.0
NPL,Asia,Nepal,2020-01-18,,0.0,,0.0
NPL,Asia,Nepal,2020-01-19,,0.0,,0.0
NPL,Asia,Nepal,2020-01-20,,0.0,,0.0
NPL,Asia,Nepal,2020-01-21,,0.0,,0.0
NPL,Asia,Nepal,2020-01-22,,0.0,,0.0
NPL,Asia,Nepal,2020-01-23,,0.0,,0.0
NPL,Asia,Nepal,2020-01-24,,0.0,,0.0
NPL,Asia,Nepal,2020-01-25,,0.0,,0.0
NPL,Asia,Nepal,2020-01-26,5.0,5.0,,0.0
NPL,Asia,Nepal,2020-01-27,5.0,0.0,,0.0
NPL,Asia,Nepal,2020-01-28,5.0,0.0,,0.0
NPL,Asia,Nepal,2020-01-29,5.0,0.0,,0.0
NPL,Asia,Nepal,2020-01-30,5.0,0.0,,0.0
NPL,Asia,Nepal,2020-01-31,5.0,0.0,,0.0
NPL,Asia,Nepal,2020-02-01,5.0,0.0,,0.0
NPL,Asia,Nepal,2020-02-02,5.0,0.0,,0.0
NPL,Asia,Nepal,2020-02-03,5.0,0.0,,0.0
NPL,Asia,Nepal,2020-02-04,5.0,0.0,,0.0
NPL,Asia,Nepal,2020-02-05,5.0,0.0,,0.0
NPL,Asia,Nepal,2020-02-06,5.0,0.0,,0.0
NPL,Asia,Nepal,2020-02-07,5.0,0.0,,0.0
NPL,Asia,Nepal,2020-02-08,5.0,0.0,,0.0
NPL,Asia,Nepal,2020-02-09,5.0,0.0,,0.0
NPL,Asia,Nepal,2020-02-10,5.0,0.0,,0.0
NPL,Asia,Nepal,2020-02-11,5.0,0.0,,0.0
NPL,Asia,Nepal,2020-02-12,5.0,0.0,,0.0
NPL,Asia,Nepal,2020-02-13,5.0,0.0,,0.0
NPL,Asia,Nepal,2020-02-14,5.0,0.0,,0.0
NPL,Asia,Nepal,2020-02-15,5.0,0.0,,0.0
NPL,Asia,Nepal,2020-02-16,5.0,0.0,,0.0
NPL,Asia,Nepal,2020-02-17,5.0,0.0,,0.0
NPL,Asia,Nepal,2020-02-18,5.0,0.0,,0.0
NPL,Asia,Nepal,2020-02-19,5.0,0.0,,0.0
NPL,Asia,Nepal,2020-02-20,5.0,0.0,,0.0
NPL,Asia,Nepal,2020-02-21,5.0,0.0,,0.0
NPL,Asia,Nepal,2020-02-22,5.0,0.0,,0.0
NPL,Asia,Nepal,2020-02-23,5.0,0.0,,0.0
NPL,Asia,Nepal,2020-02-24,5.0,0.0,,0.0
NPL,Asia,Nepal,2020-02-25,5.0,0.0,,0.0
NPL,Asia,Nepal,2020-02-26,5.0,0.0,,0.0
NPL,Asia,Nepal,2020-02-27,5.0,0.0,,0.0
NPL,Asia,Nepal,2020-02-28,5.0,0.0,,0.0
NPL,Asia,Nepal,2020-02-29,5.0,0.0,,0.0
NPL,Asia,Nepal,2020-03-01,5.0,0.0,,0.0
NPL,Asia,Nepal,2020-03-02,5.0,0.0,,0.0
NPL,Asia,Nepal,2020-03-03,5.0,0.0,,0.0
NPL,Asia,Nepal,2020-03-04,5.0,0.0,,0.0
NPL,Asia,Nepal,2020-03-05,5.0,0.0,,0.0
NPL,Asia,Nepal,2020-03-06,5.0,0.0,,0.0
NPL,Asia,Nepal,2020-03-07,5.0,0.0,,0.0
NPL,Asia,Nepal,2020-03-08,5.0,0.0,,0.0
NPL,Asia,Nepal,2020-03-09,5.0,0.0,,0.0
NPL,Asia,Nepal,2020-03-10,5.0,0.0,,0.0
NPL,Asia,Nepal,2020-03-11,5.0,0.0,,0.0
NPL,Asia,Nepal,2020-03-12,5.0,0.0,,0.0
NPL,Asia,Nepal,2020-03-13,5.0,0.0,,0.0
NPL,Asia,Nepal,2020-03-14,5.0,0.0,,0.0
NPL,Asia,Nepal,2020-03-15,5.0,0.0,,0.0
NPL,Asia,Nepal,2020-03-16,5.0,0.0,,0.0
NPL,Asia,Nepal,2020-03-17,5.0,0.0,,0.0
NPL,Asia,Nepal,2020-03-18,5.0,0.0,,0.0
NPL,Asia,Nepal,2020-03-19,5.0,0.0,,0.0
NPL,Asia,Nepal,2020-03-20,5.0,0.0,,0.0
