Date,CountryCode,CountryName,Alpha,Beta,Gamma,Delta,Omicron
2021-01-20,0,CAF,0,0,0,0,0
2021-01-27,0,CAF,0,0,0,0,0
2021-02-01,0,CAF,0,0,0,0,0
2021-02-02,0,CAF,0,0,0,0,0
2021-02-05,0,CAF,0,0,0,0,0
2021-02-08,0,CAF,0,0,0,0,0
2021-02-11,0,CAF,0,0,0,0,0
2021-02-12,0,CAF,0,0,0,0,0
2021-02-16,0,CAF,0,0,0,0,0
2021-02-25,0,CAF,0,0,0,0,0
2021-02-26,0,CAF,0,0,0,0,0
2021-03-02,0,CAF,0,0,0,0,0
2021-03-03,0,CAF,0,0,0,0,0
2021-03-04,0,CAF,0.235294117647059,0,0,0,0
2021-03-06,0,CAF,0.166666666666667,0,0,0,0
2021-03-08,0,CAF,0.111111111111111,0,0,0,0
2021-03-09,0,CAF,0.19047619047619,0,0,0,0
2021-03-10,0,CAF,0.19047619047619,0,0,0,0
2021-03-12,0,CAF,0.19047619047619,0,0,0,0
2021-03-13,0,CAF,0.227272727272727,0.0454545454545455,0,0,0
2021-03-15,0,CAF,0.24,0,0,0,0
2021-03-16,0,CAF,0.24,0,0,0,0
2021-03-17,0,CAF,0.25,0,0,0,0
2021-03-18,0,CAF,0.233333333333333,0,0,0,0
2021-03-25,0,CAF,0.233333333333333,0,0,0,0
2021-03-29,0,CAF,0.241379310344828,0,0,0,0
2021-03-31,0,CAF,0.193548387096774,0,0,0,0
2021-04-01,0,CAF,0.193548387096774,0,0,0,0
2021-04-12,0,CAF,0.2,0,0,0,0
2021-04-22,0,CAF,0.2,0,0,0,0
2021-04-26,0,CAF,0.148148148148148,0,0,0,0
2021-12-12,0,CAF,0.148148148148148,0,0,0,0
2022-01-03,0,CAF,0.0555555555555555,0,0,0,0
