date,total_count,lineage_count,lineage,prevalence,prevalence_rolling,Country
2020-05-08,1,1,a,1,1,Burkina Faso
2020-05-09,2,1,a,0.5,0.5,Burkina Faso
2020-05-10,1,1,a,1,0.666666666666667,Burkina Faso
2020-05-11,0,0,a,0,0.692307692307692,Burkina Faso
2020-05-12,0,0,a,0,0.705882352941177,Burkina Faso
2020-05-13,0,0,a,0,0.714285714285714,Burkina Faso
2020-05-14,0,0,a,0,0.72,Burkina Faso
2020-05-15,0,0,a,0,0.666666666666667,Burkina Faso
2020-05-16,0,0,a,0,1,Burkina Faso
2020-05-17,0,0,a,0,0,Burkina Faso
2020-05-18,0,0,a,0,0,Burkina Faso
2020-05-19,0,0,a,0,0,Burkina Faso
2020-05-20,0,0,a,0,0,Burkina Faso
2020-05-21,0,0,a,0,0,Burkina Faso
2020-05-22,0,0,a,0,0,Burkina Faso
2020-05-23,0,0,a,0,0,Burkina Faso
2020-05-24,0,0,a,0,0,Burkina Faso
2020-05-25,0,0,a,0,0,Burkina Faso
2020-05-26,0,0,a,0,0,Burkina Faso
2020-05-27,0,0,a,0,0,Burkina Faso
2020-05-28,0,0,a,0,0,Burkina Faso
2020-05-29,0,0,a,0,0,Burkina Faso
2020-05-30,0,0,a,0,0,Burkina Faso
2020-05-31,0,0,a,0,0,Burkina Faso
2020-06-01,0,0,a,0,0,Burkina Faso
2020-06-02,0,0,a,0,0,Burkina Faso
2020-06-03,0,0,a,0,0,Burkina Faso
2020-06-04,0,0,a,0,0,Burkina Faso
2020-06-05,0,0,a,0,0,Burkina Faso
2020-06-06,0,0,a,0,0,Burkina Faso
2020-06-07,0,0,a,0,0,Burkina Faso
2020-06-08,0,0,a,0,0,Burkina Faso
2020-06-09,0,0,a,0,0,Burkina Faso
2020-06-10,0,0,a,0,0,Burkina Faso
2020-06-11,0,0,a,0,0,Burkina Faso
2020-06-12,0,0,a,0,0,Burkina Faso
2020-06-13,0,0,a,0,0,Burkina Faso
2020-06-14,0,0,a,0,0,Burkina Faso
2020-06-15,0,0,a,0,0,Burkina Faso
2020-06-16,0,0,a,0,0,Burkina Faso
2020-06-17,0,0,a,0,0,Burkina Faso
2020-06-18,0,0,a,0,0,Burkina Faso
2020-06-19,0,0,a,0,0,Burkina Faso
2020-06-20,0,0,a,0,0,Burkina Faso
2020-06-21,0,0,a,0,0,Burkina Faso
2020-06-22,0,0,a,0,0,Burkina Faso
2020-06-23,0,0,a,0,0,Burkina Faso
2020-06-24,0,0,a,0,0,Burkina Faso
2020-06-25,0,0,a,0,0,Burkina Faso
2020-06-26,0,0,a,0,0,Burkina Faso
2020-06-27,0,0,a,0,0,Burkina Faso
2020-06-28,0,0,a,0,0,Burkina Faso
2020-06-29,0,0,a,0,0,Burkina Faso
2020-06-30,0,0,a,0,0,Burkina Faso
2020-07-01,0,0,a,0,0,Burkina Faso
2020-07-02,0,0,a,0,0,Burkina Faso
2020-07-03,0,0,a,0,0,Burkina Faso
2020-07-04,0,0,a,0,0,Burkina Faso
2020-07-05,0,0,a,0,0,Burkina Faso
2020-07-06,0,0,a,0,0,Burkina Faso
2020-07-07,0,0,a,0,0,Burkina Faso
2020-07-08,0,0,a,0,0,Burkina Faso
2020-07-09,0,0,a,0,0,Burkina Faso
2020-07-10,0,0,a,0,0,Burkina Faso
2020-07-11,0,0,a,0,0,Burkina Faso
2020-07-12,0,0,a,0,0,Burkina Faso
2020-07-13,0,0,a,0,0,Burkina Faso
2020-07-14,0,0,a,0,0,Burkina Faso
2020-07-15,0,0,a,0,0,Burkina Faso
2020-07-16,0,0,a,0,0,Burkina Faso
2020-07-17,0,0,a,0,0,Burkina Faso
2020-07-18,0,0,a,0,0,Burkina Faso
2020-07-19,0,0,a,0,0,Burkina Faso
2020-07-20,0,0,a,0,0,Burkina Faso
2020-07-21,0,0,a,0,0,Burkina Faso
2020-07-22,0,0,a,0,0,Burkina Faso
2020-07-23,0,0,a,0,0,Burkina Faso
2020-07-24,0,0,a,0,0,Burkina Faso
2020-07-25,0,0,a,0,0,Burkina Faso
2020-07-26,0,0,a,0,0,Burkina Faso
2020-07-27,0,0,a,0,0,Burkina Faso
2020-07-28,0,0,a,0,0,Burkina Faso
2020-07-29,0,0,a,0,0,Burkina Faso
2020-07-30,0,0,a,0,0,Burkina Faso
2020-07-31,0,0,a,0,0,Burkina Faso
2020-08-01,0,0,a,0,0,Burkina Faso
2020-08-02,0,0,a,0,0,Burkina Faso
2020-08-03,0,0,a,0,0,Burkina Faso
2020-08-04,0,0,a,0,0,Burkina Faso
2020-08-05,0,0,a,0,0,Burkina Faso
2020-08-06,0,0,a,0,0,Burkina Faso
2020-08-07,0,0,a,0,0,Burkina Faso
2020-08-08,0,0,a,0,0,Burkina Faso
2020-08-09,0,0,a,0,0,Burkina Faso
2020-08-10,0,0,a,0,0,Burkina Faso
2020-08-11,0,0,a,0,0,Burkina Faso
2020-08-12,0,0,a,0,0,Burkina Faso
2020-08-13,0,0,a,0,0,Burkina Faso
2020-08-14,0,0,a,0,0,Burkina Faso
2020-08-15,0,0,a,0,0,Burkina Faso
2020-08-16,0,0,a,0,0,Burkina Faso
2020-08-17,0,0,a,0,0,Burkina Faso
2020-08-18,0,0,a,0,0,Burkina Faso
2020-08-19,0,0,a,0,0,Burkina Faso
2020-08-20,0,0,a,0,0,Burkina Faso
2020-08-21,0,0,a,0,0,Burkina Faso
2020-08-22,0,0,a,0,0,Burkina Faso
2020-08-23,0,0,a,0,0,Burkina Faso
2020-08-24,0,0,a,0,0,Burkina Faso
2020-08-25,0,0,a,0,0,Burkina Faso
2020-08-26,0,0,a,0,0,Burkina Faso
2020-08-27,0,0,a,0,0,Burkina Faso
2020-08-28,0,0,a,0,0,Burkina Faso
2020-08-29,0,0,a,0,0,Burkina Faso
2020-08-30,0,0,a,0,0,Burkina Faso
2020-08-31,0,0,a,0,0,Burkina Faso
2020-09-01,0,0,a,0,0,Burkina Faso
2020-09-02,0,0,a,0,0,Burkina Faso
2020-09-03,0,0,a,0,0,Burkina Faso
2020-09-04,0,0,a,0,0,Burkina Faso
2020-09-05,0,0,a,0,0,Burkina Faso
2020-09-06,0,0,a,0,0,Burkina Faso
2020-09-07,0,0,a,0,0,Burkina Faso
2020-09-08,0,0,a,0,0,Burkina Faso
2020-09-09,0,0,a,0,0,Burkina Faso
2020-09-10,0,0,a,0,0,Burkina Faso
2020-09-11,0,0,a,0,0,Burkina Faso
2020-09-12,0,0,a,0,0,Burkina Faso
2020-09-13,0,0,a,0,0,Burkina Faso
2020-09-14,0,0,a,0,0,Burkina Faso
2020-09-15,0,0,a,0,0,Burkina Faso
2020-09-16,0,0,a,0,0,Burkina Faso
2020-09-17,0,0,a,0,0,Burkina Faso
2020-09-18,0,0,a,0,0,Burkina Faso
2020-09-19,0,0,a,0,0,Burkina Faso
2020-09-20,0,0,a,0,0,Burkina Faso
2020-09-21,6,1,a,0.166666666666667,0.0576923076923077,Burkina Faso
2020-09-22,0,0,a,0,0.0588235294117647,Burkina Faso
2020-09-23,0,0,a,0,0.111111111111111,Burkina Faso
2020-09-24,0,0,a,0,0.1,Burkina Faso
2020-09-25,0,0,a,0,0.0909090909090909,Burkina Faso
2020-09-26,0,0,a,0,0.0909090909090909,Burkina Faso
2020-09-27,0,0,a,0,0.0909090909090909,Burkina Faso
2020-09-28,0,0,a,0,0,Burkina Faso
2020-09-29,0,0,a,0,0,Burkina Faso
2020-09-30,0,0,a,0,0,Burkina Faso
2020-10-01,0,0,a,0,0,Burkina Faso
2020-10-02,0,0,a,0,0,Burkina Faso
2020-10-03,0,0,a,0,0,Burkina Faso
2020-10-04,0,0,a,0,0,Burkina Faso
2020-10-05,0,0,a,0,0,Burkina Faso
2020-10-06,0,0,a,0,0,Burkina Faso
2020-10-07,0,0,a,0,0,Burkina Faso
2020-10-08,0,0,a,0,0,Burkina Faso
2020-10-09,0,0,a,0,0,Burkina Faso
2020-10-10,0,0,a,0,0,Burkina Faso
2020-10-11,0,0,a,0,0,Burkina Faso
2020-10-12,0,0,a,0,0,Burkina Faso
2020-10-13,0,0,a,0,0,Burkina Faso
2020-10-14,0,0,a,0,0,Burkina Faso
2020-10-15,0,0,a,0,0,Burkina Faso
2020-10-16,0,0,a,0,0,Burkina Faso
2020-10-17,0,0,a,0,0,Burkina Faso
2020-10-18,0,0,a,0,0,Burkina Faso
2020-10-19,0,0,a,0,0,Burkina Faso
2020-10-20,0,0,a,0,0,Burkina Faso
2020-10-21,0,0,a,0,0,Burkina Faso
2020-10-22,0,0,a,0,0,Burkina Faso
2020-10-23,0,0,a,0,0,Burkina Faso
2020-10-24,0,0,a,0,0,Burkina Faso
2020-10-25,0,0,a,0,0,Burkina Faso
2020-10-26,0,0,a,0,0,Burkina Faso
2020-10-27,0,0,a,0,0,Burkina Faso
2020-10-28,0,0,a,0,0,Burkina Faso
2020-10-29,0,0,a,0,0,Burkina Faso
2020-10-30,0,0,a,0,0,Burkina Faso
2020-10-31,0,0,a,0,0,Burkina Faso
2020-11-01,0,0,a,0,0,Burkina Faso
2020-11-02,0,0,a,0,0,Burkina Faso
2020-11-03,0,0,a,0,0,Burkina Faso
2020-11-04,0,0,a,0,0,Burkina Faso
2020-11-05,0,0,a,0,0,Burkina Faso
2020-11-06,0,0,a,0,0,Burkina Faso
2020-11-07,0,0,a,0,0,Burkina Faso
2020-11-08,0,0,a,0,0,Burkina Faso
2020-11-09,0,0,a,0,0,Burkina Faso
2020-11-10,0,0,a,0,0,Burkina Faso
2020-11-11,0,0,a,0,0,Burkina Faso
2020-11-12,0,0,a,0,0,Burkina Faso
2020-11-13,0,0,a,0,0,Burkina Faso
2020-11-14,0,0,a,0,0,Burkina Faso
2020-11-15,0,0,a,0,0,Burkina Faso
2020-11-16,0,0,a,0,0,Burkina Faso
2020-11-17,0,0,a,0,0,Burkina Faso
2020-11-18,0,0,a,0,0,Burkina Faso
2020-11-19,0,0,a,0,0,Burkina Faso
2020-11-20,0,0,a,0,0,Burkina Faso
2020-11-21,0,0,a,0,0,Burkina Faso
2020-11-22,0,0,a,0,0,Burkina Faso
2020-11-23,0,0,a,0,0,Burkina Faso
2020-11-24,1,1,a,1,0.333333333333333,Burkina Faso
2020-11-25,0,0,a,0,0.333333333333333,Burkina Faso
2020-11-26,6,1,a,0.166666666666667,0.142857142857143,Burkina Faso
2020-11-27,0,0,a,0,0.285714285714286,Burkina Faso
2020-11-28,0,0,a,0,0.333333333333333,Burkina Faso
2020-11-29,0,0,a,0,0.285714285714286,Burkina Faso
2020-11-30,0,0,a,0,0.285714285714286,Burkina Faso
2020-12-01,0,0,a,0,0.0833333333333333,Burkina Faso
2020-12-02,0,0,a,0,0.0588235294117647,Burkina Faso
2020-12-03,0,0,a,0,0,Burkina Faso
2020-12-04,0,0,a,0,0,Burkina Faso
2020-12-05,0,0,a,0,0,Burkina Faso
2020-12-06,0,0,a,0,0,Burkina Faso
2020-12-07,0,0,a,0,0,Burkina Faso
2020-12-08,6,2,a,0.333333333333333,0.0695652173913044,Burkina Faso
2020-12-09,0,0,a,0,0.0854700854700855,Burkina Faso
2020-12-10,0,0,a,0,0.110091743119266,Burkina Faso
2020-12-11,0,0,a,0,0.125,Burkina Faso
2020-12-12,0,0,a,0,0.142857142857143,Burkina Faso
2020-12-13,0,0,a,0,0.142857142857143,Burkina Faso
2020-12-14,0,0,a,0,0.166666666666667,Burkina Faso
2020-12-15,8,1,a,0.125,0.0714285714285714,Burkina Faso
2020-12-16,6,1,a,0.166666666666667,0.0769230769230769,Burkina Faso
2020-12-17,0,0,a,0,0.0754716981132076,Burkina Faso
2020-12-18,0,0,a,0,0.0681818181818182,Burkina Faso
2020-12-19,0,0,a,0,0.0563380281690141,Burkina Faso
2020-12-20,0,0,a,0,0.0529100529100529,Burkina Faso
2020-12-21,0,0,a,0,0.0483870967741935,Burkina Faso
2020-12-22,17,1,a,0.0588235294117647,0.0294117647058824,Burkina Faso
2020-12-23,0,0,a,0,0.0227272727272727,Burkina Faso
2020-12-24,0,0,a,0,0.024390243902439,Burkina Faso
2020-12-25,0,0,a,0,0.0277777777777778,Burkina Faso
2020-12-26,0,0,a,0,0.0277777777777778,Burkina Faso
2020-12-27,0,0,a,0,0.0238095238095238,Burkina Faso
2020-12-28,0,0,a,0,0.0196078431372549,Burkina Faso
2020-12-29,0,0,a,0,0,Burkina Faso
2020-12-30,0,0,a,0,0,Burkina Faso
2020-12-31,0,0,a,0,0,Burkina Faso
2021-01-01,0,0,a,0,0,Burkina Faso
2021-01-02,0,0,a,0,0,Burkina Faso
2021-01-03,0,0,a,0,0,Burkina Faso
2021-01-04,0,0,a,0,0,Burkina Faso
2021-01-05,5,1,a,0.2,0.0434782608695652,Burkina Faso
2021-01-06,0,0,a,0,0.05,Burkina Faso
2021-01-07,0,0,a,0,0.0454545454545455,Burkina Faso
2021-01-08,0,0,a,0,0.0416666666666667,Burkina Faso
2021-01-09,0,0,a,0,0.0434782608695652,Burkina Faso
2021-01-10,0,0,a,0,0.037037037037037,Burkina Faso
2021-01-11,13,2,a,0.153846153846154,0.0625,Burkina Faso
2021-01-12,4,1,a,0.25,0.0909090909090909,Burkina Faso
2021-01-13,0,0,a,0,0.0810810810810811,Burkina Faso
2021-01-14,0,0,a,0,0.0923076923076923,Burkina Faso
2021-01-15,0,0,a,0,0.087378640776699,Burkina Faso
2021-01-16,0,0,a,0,0.0839160839160839,Burkina Faso
2021-01-17,0,0,a,0,0.10752688172043,Burkina Faso
2021-01-18,7,1,a,0.142857142857143,0.0888888888888889,Burkina Faso
2021-01-19,3,1,a,0.333333333333333,0.0963855421686747,Burkina Faso
2021-01-20,0,0,a,0,0.0934579439252337,Burkina Faso
