date,total_count,lineage_count,lineage,prevalence,prevalence_rolling,Country
2021-03-03,290,1,a,0.00344827586206897,0.016548463356974,Slovak Republic
2021-03-04,0,0,a,0,0.0089171974522293,Slovak Republic
2021-03-05,0,0,a,0,0.00610287707061901,Slovak Republic
2021-03-06,1,1,a,1,0.00925925925925926,Slovak Republic
2021-07-14,21,1,a.29,0.0476190476190476,0.0401146131805158,Slovak Republic
2021-06-09,98,1,ay.1,0.0102040816326531,0.0186666666666667,Slovak Republic
2021-06-10,0,0,ay.1,0,0.00964187327823691,Slovak Republic
2021-06-11,0,0,ay.1,0,0.00702811244979919,Slovak Republic
2021-06-12,0,0,ay.1,0,0.0054773082942097,Slovak Republic
2021-06-13,0,0,ay.1,0,0.00454693082169536,Slovak Republic
2021-06-14,0,0,ay.1,0,0.00444726810673444,Slovak Republic
2021-06-15,0,0,ay.1,0,0.00402010050251256,Slovak Republic
2021-06-16,0,0,ay.1,0,0,Slovak Republic
2021-06-17,0,0,ay.1,0,0,Slovak Republic
2021-06-18,0,0,ay.1,0,0,Slovak Republic
2021-06-19,0,0,ay.1,0,0,Slovak Republic
2021-06-20,0,0,ay.1,0,0,Slovak Republic
2021-06-21,0,0,ay.1,0,0,Slovak Republic
2021-06-22,0,0,ay.1,0,0,Slovak Republic
2021-06-23,0,0,ay.1,0,0,Slovak Republic
2021-06-24,0,0,ay.1,0,0,Slovak Republic
2021-06-25,0,0,ay.1,0,0,Slovak Republic
2021-06-26,0,0,ay.1,0,0,Slovak Republic
2021-06-27,0,0,ay.1,0,0,Slovak Republic
2021-06-28,0,0,ay.1,0,0,Slovak Republic
2021-06-29,0,0,ay.1,0,0,Slovak Republic
2021-06-30,0,0,ay.1,0,0,Slovak Republic
2021-07-01,0,0,ay.1,0,0,Slovak Republic
2021-07-02,0,0,ay.1,0,0,Slovak Republic
2021-07-03,0,0,ay.1,0,0,Slovak Republic
2021-07-04,0,0,ay.1,0,0,Slovak Republic
2021-07-05,0,0,ay.1,0,0,Slovak Republic
2021-07-06,0,0,ay.1,0,0,Slovak Republic
2021-07-07,0,0,ay.1,0,0,Slovak Republic
2021-07-08,0,0,ay.1,0,0,Slovak Republic
2021-07-09,0,0,ay.1,0,0,Slovak Republic
2021-07-10,0,0,ay.1,0,0,Slovak Republic
2021-07-11,0,0,ay.1,0,0,Slovak Republic
2021-07-12,0,0,ay.1,0,0,Slovak Republic
2021-07-13,0,0,ay.1,0,0,Slovak Republic
2021-07-14,0,0,ay.1,0,0,Slovak Republic
2021-07-15,0,0,ay.1,0,0,Slovak Republic
2021-07-16,0,0,ay.1,0,0,Slovak Republic
2021-07-17,0,0,ay.1,0,0,Slovak Republic
2021-07-18,0,0,ay.1,0,0,Slovak Republic
2021-07-19,0,0,ay.1,0,0,Slovak Republic
2021-07-20,0,0,ay.1,0,0,Slovak Republic
2021-07-21,0,0,ay.1,0,0,Slovak Republic
2021-07-22,24,1,ay.1,0.0416666666666667,0.00710900473933649,Slovak Republic
2021-02-09,43,2,ay.100,0.0465116279069768,0.0945945945945946,Slovak Republic
2021-02-10,0,0,ay.100,0,0.0777777777777778,Slovak Republic
2021-02-11,0,0,ay.100,0,0.0657276995305164,Slovak Republic
2021-02-12,0,0,ay.100,0,0.0572831423895254,Slovak Republic
2021-02-13,0,0,ay.100,0,0.0508474576271186,Slovak Republic
2021-02-14,0,0,ay.100,0,0.0440251572327044,Slovak Republic
2021-02-15,0,0,ay.100,0,0.0408163265306122,Slovak Republic
2021-02-16,0,0,ay.100,0,0,Slovak Republic
2021-02-17,0,0,ay.100,0,0,Slovak Republic
2021-02-18,0,0,ay.100,0,0,Slovak Republic
2021-02-19,0,0,ay.100,0,0,Slovak Republic
2021-02-20,0,0,ay.100,0,0,Slovak Republic
2021-02-21,0,0,ay.100,0,0,Slovak Republic
2021-02-22,0,0,ay.100,0,0,Slovak Republic
2021-02-23,0,0,ay.100,0,0,Slovak Republic
2021-02-24,0,0,ay.100,0,0,Slovak Republic
2021-02-25,0,0,ay.100,0,0,Slovak Republic
2021-02-26,0,0,ay.100,0,0,Slovak Republic
2021-02-27,0,0,ay.100,0,0,Slovak Republic
2021-02-28,0,0,ay.100,0,0,Slovak Republic
2021-03-01,0,0,ay.100,0,0,Slovak Republic
2021-03-02,0,0,ay.100,0,0,Slovak Republic
2021-03-03,0,0,ay.100,0,0,Slovak Republic
2021-03-04,0,0,ay.100,0,0,Slovak Republic
2021-03-05,0,0,ay.100,0,0,Slovak Republic
2021-03-06,0,0,ay.100,0,0,Slovak Republic
2021-03-07,0,0,ay.100,0,0,Slovak Republic
2021-03-08,0,0,ay.100,0,0,Slovak Republic
2021-03-09,0,0,ay.100,0,0,Slovak Republic
2021-03-10,0,0,ay.100,0,0,Slovak Republic
2021-03-11,0,0,ay.100,0,0,Slovak Republic
2021-03-12,0,0,ay.100,0,0,Slovak Republic
2021-03-13,0,0,ay.100,0,0,Slovak Republic
2021-03-14,0,0,ay.100,0,0,Slovak Republic
2021-03-15,0,0,ay.100,0,0,Slovak Republic
2021-03-16,0,0,ay.100,0,0,Slovak Republic
2021-03-17,0,0,ay.100,0,0,Slovak Republic
2021-03-18,0,0,ay.100,0,0,Slovak Republic
2021-03-19,0,0,ay.100,0,0,Slovak Republic
2021-03-20,0,0,ay.100,0,0,Slovak Republic
2021-03-21,0,0,ay.100,0,0,Slovak Republic
2021-03-22,0,0,ay.100,0,0,Slovak Republic
2021-03-23,0,0,ay.100,0,0,Slovak Republic
2021-03-24,0,0,ay.100,0,0,Slovak Republic
2021-03-25,0,0,ay.100,0,0,Slovak Republic
2021-03-26,0,0,ay.100,0,0,Slovak Republic
2021-03-27,0,0,ay.100,0,0,Slovak Republic
2021-03-28,0,0,ay.100,0,0,Slovak Republic
2021-03-29,0,0,ay.100,0,0,Slovak Republic
2021-03-30,0,0,ay.100,0,0,Slovak Republic
2021-03-31,0,0,ay.100,0,0,Slovak Republic
2021-04-01,0,0,ay.100,0,0,Slovak Republic
2021-04-02,0,0,ay.100,0,0,Slovak Republic
2021-04-03,0,0,ay.100,0,0,Slovak Republic
2021-04-04,0,0,ay.100,0,0,Slovak Republic
2021-04-05,0,0,ay.100,0,0,Slovak Republic
2021-04-06,0,0,ay.100,0,0,Slovak Republic
2021-04-07,0,0,ay.100,0,0,Slovak Republic
2021-04-08,0,0,ay.100,0,0,Slovak Republic
2021-04-09,0,0,ay.100,0,0,Slovak Republic
2021-04-10,0,0,ay.100,0,0,Slovak Republic
2021-04-11,0,0,ay.100,0,0,Slovak Republic
2021-04-12,0,0,ay.100,0,0,Slovak Republic
2021-04-13,0,0,ay.100,0,0,Slovak Republic
2021-04-14,0,0,ay.100,0,0,Slovak Republic
2021-04-15,0,0,ay.100,0,0,Slovak Republic
2021-04-16,0,0,ay.100,0,0,Slovak Republic
2021-04-17,0,0,ay.100,0,0,Slovak Republic
2021-04-18,0,0,ay.100,0,0,Slovak Republic
2021-04-19,0,0,ay.100,0,0,Slovak Republic
2021-04-20,0,0,ay.100,0,0,Slovak Republic
2021-04-21,0,0,ay.100,0,0,Slovak Republic
2021-04-22,0,0,ay.100,0,0,Slovak Republic
2021-04-23,0,0,ay.100,0,0,Slovak Republic
2021-04-24,0,0,ay.100,0,0,Slovak Republic
2021-04-25,0,0,ay.100,0,0,Slovak Republic
2021-04-26,0,0,ay.100,0,0,Slovak Republic
2021-04-27,0,0,ay.100,0,0,Slovak Republic
2021-04-28,0,0,ay.100,0,0,Slovak Republic
2021-04-29,0,0,ay.100,0,0,Slovak Republic
2021-04-30,0,0,ay.100,0,0,Slovak Republic
2021-05-01,0,0,ay.100,0,0,Slovak Republic
2021-05-02,0,0,ay.100,0,0,Slovak Republic
2021-05-03,0,0,ay.100,0,0,Slovak Republic
2021-05-04,0,0,ay.100,0,0,Slovak Republic
2021-05-05,0,0,ay.100,0,0,Slovak Republic
2021-05-06,0,0,ay.100,0,0,Slovak Republic
2021-05-07,0,0,ay.100,0,0,Slovak Republic
2021-05-08,0,0,ay.100,0,0,Slovak Republic
2021-05-09,0,0,ay.100,0,0,Slovak Republic
2021-05-10,0,0,ay.100,0,0,Slovak Republic
2021-05-11,0,0,ay.100,0,0,Slovak Republic
2021-05-12,0,0,ay.100,0,0,Slovak Republic
2021-05-13,0,0,ay.100,0,0,Slovak Republic
2021-05-14,0,0,ay.100,0,0,Slovak Republic
2021-05-15,0,0,ay.100,0,0,Slovak Republic
2021-05-16,0,0,ay.100,0,0,Slovak Republic
2021-05-17,0,0,ay.100,0,0,Slovak Republic
2021-05-18,0,0,ay.100,0,0,Slovak Republic
2021-05-19,0,0,ay.100,0,0,Slovak Republic
2021-05-20,0,0,ay.100,0,0,Slovak Republic
2021-05-21,0,0,ay.100,0,0,Slovak Republic
2021-05-22,0,0,ay.100,0,0,Slovak Republic
2021-05-23,0,0,ay.100,0,0,Slovak Republic
2021-05-24,0,0,ay.100,0,0,Slovak Republic
2021-05-25,0,0,ay.100,0,0,Slovak Republic
2021-05-26,0,0,ay.100,0,0,Slovak Republic
2021-05-27,0,0,ay.100,0,0,Slovak Republic
2021-05-28,0,0,ay.100,0,0,Slovak Republic
2021-05-29,0,0,ay.100,0,0,Slovak Republic
2021-05-30,0,0,ay.100,0,0,Slovak Republic
2021-05-31,0,0,ay.100,0,0,Slovak Republic
2021-06-01,0,0,ay.100,0,0,Slovak Republic
2021-06-02,0,0,ay.100,0,0,Slovak Republic
2021-06-03,0,0,ay.100,0,0,Slovak Republic
2021-06-04,0,0,ay.100,0,0,Slovak Republic
2021-06-05,0,0,ay.100,0,0,Slovak Republic
2021-06-06,0,0,ay.100,0,0,Slovak Republic
2021-06-07,0,0,ay.100,0,0,Slovak Republic
2021-06-08,0,0,ay.100,0,0,Slovak Republic
2021-06-09,0,0,ay.100,0,0,Slovak Republic
2021-06-10,0,0,ay.100,0,0,Slovak Republic
2021-06-11,0,0,ay.100,0,0,Slovak Republic
2021-06-12,0,0,ay.100,0,0,Slovak Republic
2021-06-13,0,0,ay.100,0,0,Slovak Republic
2021-06-14,0,0,ay.100,0,0,Slovak Republic
2021-06-15,0,0,ay.100,0,0,Slovak Republic
2021-06-16,0,0,ay.100,0,0,Slovak Republic
2021-06-17,0,0,ay.100,0,0,Slovak Republic
2021-06-18,0,0,ay.100,0,0,Slovak Republic
2021-06-19,0,0,ay.100,0,0,Slovak Republic
2021-06-20,0,0,ay.100,0,0,Slovak Republic
2021-06-21,0,0,ay.100,0,0,Slovak Republic
2021-06-22,0,0,ay.100,0,0,Slovak Republic
2021-06-23,0,0,ay.100,0,0,Slovak Republic
2021-06-24,0,0,ay.100,0,0,Slovak Republic
2021-06-25,0,0,ay.100,0,0,Slovak Republic
2021-06-26,0,0,ay.100,0,0,Slovak Republic
2021-06-27,0,0,ay.100,0,0,Slovak Republic
2021-06-28,0,0,ay.100,0,0,Slovak Republic
2021-06-29,0,0,ay.100,0,0,Slovak Republic
2021-06-30,0,0,ay.100,0,0,Slovak Republic
2021-07-01,0,0,ay.100,0,0,Slovak Republic
2021-07-02,0,0,ay.100,0,0,Slovak Republic
2021-07-03,0,0,ay.100,0,0,Slovak Republic
2021-07-04,0,0,ay.100,0,0,Slovak Republic
2021-07-05,0,0,ay.100,0,0,Slovak Republic
2021-07-06,0,0,ay.100,0,0,Slovak Republic
2021-07-07,0,0,ay.100,0,0,Slovak Republic
2021-07-08,0,0,ay.100,0,0,Slovak Republic
2021-07-09,0,0,ay.100,0,0,Slovak Republic
2021-07-10,0,0,ay.100,0,0,Slovak Republic
2021-07-11,0,0,ay.100,0,0,Slovak Republic
2021-07-12,0,0,ay.100,0,0,Slovak Republic
2021-07-13,0,0,ay.100,0,0,Slovak Republic
