date,total_count,lineage_count,lineage,prevalence,prevalence_rolling,Country
2020-03-27,4,3,a,0.75,0.631578947368421,Ghana
2020-03-28,0,0,a,0,0.456521739130435,Ghana
2020-03-29,4,1,a,0.25,0.417287630402385,Ghana
2020-03-30,4,1,a,0.25,0.376344086021505,Ghana
2020-03-31,0,0,a,0,0.35,Ghana
2020-04-01,0,0,a,0,0.368421052631579,Ghana
2020-04-02,0,0,a,0,0.333333333333333,Ghana
2020-04-03,0,0,a,0,0.181818181818182,Ghana
2020-04-04,0,0,a,0,0.222222222222222,Ghana
2020-04-05,0,0,a,0,0.2,Ghana
2020-04-06,0,0,a,0,0,Ghana
2020-04-07,0,0,a,0,0,Ghana
2020-04-08,0,0,a,0,0,Ghana
2020-04-09,0,0,a,0,0,Ghana
2020-04-10,0,0,a,0,0,Ghana
2020-04-11,0,0,a,0,0,Ghana
2020-04-12,0,0,a,0,0,Ghana
2020-04-13,0,0,a,0,0,Ghana
2020-04-14,0,0,a,0,0,Ghana
2020-04-15,0,0,a,0,0,Ghana
2020-04-16,0,0,a,0,0,Ghana
2020-04-17,0,0,a,0,0,Ghana
2020-04-18,0,0,a,0,0,Ghana
2020-04-19,0,0,a,0,0,Ghana
2020-04-20,0,0,a,0,0,Ghana
2020-04-21,0,0,a,0,0,Ghana
2020-04-22,0,0,a,0,0,Ghana
2020-04-23,0,0,a,0,0,Ghana
2020-04-24,0,0,a,0,0,Ghana
2020-04-25,1,1,a,1,1,Ghana
2020-04-26,0,0,a,0,1,Ghana
2020-04-27,0,0,a,0,1,Ghana
2020-04-28,0,0,a,0,1,Ghana
2020-04-29,0,0,a,0,1,Ghana
2020-04-30,0,0,a,0,1,Ghana
2020-05-01,0,0,a,0,1,Ghana
2020-05-02,0,0,a,0,0,Ghana
2020-05-03,0,0,a,0,0,Ghana
2020-05-04,0,0,a,0,0,Ghana
2020-05-05,0,0,a,0,0,Ghana
2020-05-06,0,0,a,0,0,Ghana
2020-05-07,0,0,a,0,0,Ghana
2020-05-08,0,0,a,0,0,Ghana
2020-05-09,0,0,a,0,0,Ghana
2020-05-10,0,0,a,0,0,Ghana
2020-05-11,0,0,a,0,0,Ghana
2020-05-12,0,0,a,0,0,Ghana
2020-05-13,0,0,a,0,0,Ghana
2020-05-14,0,0,a,0,0,Ghana
2020-05-15,0,0,a,0,0,Ghana
2020-05-16,0,0,a,0,0,Ghana
2020-05-17,0,0,a,0,0,Ghana
2020-05-18,0,0,a,0,0,Ghana
2020-05-19,0,0,a,0,0,Ghana
2020-05-20,3,1,a,0.333333333333333,0.333333333333333,Ghana
2020-05-21,0,0,a,0,0.333333333333333,Ghana
2020-05-22,0,0,a,0,0.25,Ghana
2020-05-23,0,0,a,0,0.0357142857142857,Ghana
2020-05-24,7,3,a,0.428571428571429,0.148148148148148,Ghana
2020-05-25,7,2,a,0.285714285714286,0.163636363636364,Ghana
2020-05-26,0,0,a,0,0.198347107438017,Ghana
2020-05-27,0,0,a,0,0.205479452054795,Ghana
2020-05-28,0,0,a,0,0.22140221402214,Ghana
2020-05-29,0,0,a,0,0.245098039215686,Ghana
2020-05-30,0,0,a,0,0.352941176470588,Ghana
2020-05-31,0,0,a,0,0.285714285714286,Ghana
2020-06-01,0,0,a,0,0,Ghana
2020-06-02,0,0,a,0,0,Ghana
2020-06-03,0,0,a,0,0,Ghana
2020-06-04,0,0,a,0,0,Ghana
2020-06-05,0,0,a,0,0,Ghana
2020-06-06,0,0,a,0,0,Ghana
2020-06-07,0,0,a,0,0,Ghana
2020-06-08,0,0,a,0,0,Ghana
2020-06-09,0,0,a,0,0,Ghana
2020-06-10,0,0,a,0,0,Ghana
2020-06-11,0,0,a,0,0,Ghana
2020-06-12,2,1,a,0.5,0.5,Ghana
2020-06-13,0,0,a,0,0.5,Ghana
2020-06-14,0,0,a,0,0.5,Ghana
2020-06-15,0,0,a,0,0.5,Ghana
2020-06-16,0,0,a,0,0.333333333333333,Ghana
2020-06-17,0,0,a,0,0.333333333333333,Ghana
2020-06-18,0,0,a,0,0.333333333333333,Ghana
2020-06-19,0,0,a,0,0,Ghana
2020-06-20,0,0,a,0,0,Ghana
2020-06-21,0,0,a,0,0,Ghana
2020-06-22,0,0,a,0,0,Ghana
2020-06-23,0,0,a,0,0,Ghana
2020-06-24,0,0,a,0,0,Ghana
2020-06-25,0,0,a,0,0,Ghana
2020-06-26,0,0,a,0,0,Ghana
2020-06-27,0,0,a,0,0,Ghana
2020-06-28,0,0,a,0,0,Ghana
2020-06-29,0,0,a,0,0,Ghana
2020-06-30,0,0,a,0,0,Ghana
2020-07-01,0,0,a,0,0,Ghana
2020-07-02,0,0,a,0,0,Ghana
2020-07-03,0,0,a,0,0,Ghana
2020-07-04,0,0,a,0,0,Ghana
2020-07-05,0,0,a,0,0,Ghana
2020-07-06,0,0,a,0,0,Ghana
2020-07-07,0,0,a,0,0,Ghana
2020-07-08,0,0,a,0,0,Ghana
2020-07-09,0,0,a,0,0,Ghana
2020-07-10,0,0,a,0,0,Ghana
2020-07-11,0,0,a,0,0,Ghana
2020-07-12,0,0,a,0,0,Ghana
2020-07-13,0,0,a,0,0,Ghana
2020-07-14,0,0,a,0,0,Ghana
2020-07-15,0,0,a,0,0,Ghana
2020-07-16,0,0,a,0,0,Ghana
2020-07-17,0,0,a,0,0,Ghana
2020-07-18,0,0,a,0,0,Ghana
2020-07-19,0,0,a,0,0,Ghana
2020-07-20,0,0,a,0,0,Ghana
2020-07-21,8,1,a,0.125,0.0246913580246914,Ghana
2020-07-22,0,0,a,0,0.0272727272727273,Ghana
2020-07-23,0,0,a,0,0.0273972602739726,Ghana
2020-07-24,0,0,a,0,0.0308641975308642,Ghana
2020-07-25,0,0,a,0,0.0294117647058824,Ghana
2020-07-26,0,0,a,0,0.0303030303030303,Ghana
2020-07-27,0,0,a,0,0.0454545454545455,Ghana
2020-07-28,0,0,a,0,0,Ghana
2020-07-29,0,0,a,0,0,Ghana
2020-07-30,0,0,a,0,0,Ghana
2020-07-31,0,0,a,0,0,Ghana
2020-08-01,0,0,a,0,0,Ghana
2020-08-02,0,0,a,0,0,Ghana
2020-08-03,0,0,a,0,0,Ghana
2020-08-04,0,0,a,0,0,Ghana
2020-08-05,0,0,a,0,0,Ghana
2020-08-06,0,0,a,0,0,Ghana
2020-08-07,0,0,a,0,0,Ghana
2020-08-08,0,0,a,0,0,Ghana
2020-08-09,0,0,a,0,0,Ghana
2020-08-10,0,0,a,0,0,Ghana
2020-08-11,0,0,a,0,0,Ghana
2020-08-12,0,0,a,0,0,Ghana
2020-08-13,0,0,a,0,0,Ghana
2020-08-14,0,0,a,0,0,Ghana
2020-08-15,0,0,a,0,0,Ghana
2020-08-16,0,0,a,0,0,Ghana
2020-08-17,0,0,a,0,0,Ghana
2020-08-18,0,0,a,0,0,Ghana
2020-08-19,0,0,a,0,0,Ghana
2020-08-20,0,0,a,0,0,Ghana
2020-08-21,3,1,a,0.333333333333333,0.0909090909090909,Ghana
2020-08-22,0,0,a,0,0.0909090909090909,Ghana
2020-08-23,0,0,a,0,0.0909090909090909,Ghana
2020-08-24,0,0,a,0,0.0555555555555556,Ghana
2020-08-25,0,0,a,0,0.0555555555555556,Ghana
2020-08-26,0,0,a,0,0.05,Ghana
2020-08-27,0,0,a,0,0.0666666666666667,Ghana
2020-08-28,0,0,a,0,0,Ghana
2020-08-29,0,0,a,0,0,Ghana
2020-08-30,0,0,a,0,0,Ghana
2020-08-31,0,0,a,0,0,Ghana
2020-09-01,0,0,a,0,0,Ghana
2020-09-02,0,0,a,0,0,Ghana
2020-09-03,0,0,a,0,0,Ghana
2020-09-04,0,0,a,0,0,Ghana
2020-09-05,0,0,a,0,0,Ghana
2020-09-06,0,0,a,0,0,Ghana
2020-09-07,0,0,a,0,0,Ghana
2020-09-08,0,0,a,0,0,Ghana
2020-09-09,0,0,a,0,0,Ghana
2020-09-10,0,0,a,0,0,Ghana
2020-09-11,0,0,a,0,0,Ghana
2020-09-12,0,0,a,0,0,Ghana
2020-09-13,0,0,a,0,0,Ghana
2020-09-14,0,0,a,0,0,Ghana
2020-09-15,0,0,a,0,0,Ghana
2020-09-16,0,0,a,0,0,Ghana
2020-09-17,0,0,a,0,0,Ghana
2020-09-18,0,0,a,0,0,Ghana
2020-09-19,0,0,a,0,0,Ghana
2020-09-20,0,0,a,0,0,Ghana
2020-09-21,0,0,a,0,0,Ghana
2020-09-22,0,0,a,0,0,Ghana
2020-09-23,0,0,a,0,0,Ghana
2020-09-24,0,0,a,0,0,Ghana
2020-09-25,0,0,a,0,0,Ghana
2020-09-26,0,0,a,0,0,Ghana
2020-09-27,0,0,a,0,0,Ghana
2020-09-28,0,0,a,0,0,Ghana
2020-09-29,0,0,a,0,0,Ghana
2020-09-30,0,0,a,0,0,Ghana
2020-10-01,0,0,a,0,0,Ghana
2020-10-02,0,0,a,0,0,Ghana
2020-10-03,0,0,a,0,0,Ghana
2020-10-04,0,0,a,0,0,Ghana
2020-10-05,0,0,a,0,0,Ghana
2020-10-06,0,0,a,0,0,Ghana
2020-10-07,0,0,a,0,0,Ghana
2020-10-08,0,0,a,0,0,Ghana
2020-10-09,0,0,a,0,0,Ghana
2020-10-10,0,0,a,0,0,Ghana
2020-10-11,0,0,a,0,0,Ghana
2020-10-12,0,0,a,0,0,Ghana
2020-10-13,0,0,a,0,0,Ghana
2020-10-14,0,0,a,0,0,Ghana
2020-10-15,0,0,a,0,0,Ghana
2020-10-16,0,0,a,0,0,Ghana
2020-10-17,0,0,a,0,0,Ghana
2020-10-18,0,0,a,0,0,Ghana
2020-10-19,0,0,a,0,0,Ghana
2020-10-20,0,0,a,0,0,Ghana
2020-10-21,0,0,a,0,0,Ghana
2020-10-22,0,0,a,0,0,Ghana
2020-10-23,0,0,a,0,0,Ghana
2020-10-24,0,0,a,0,0,Ghana
2020-10-25,0,0,a,0,0,Ghana
2020-10-26,0,0,a,0,0,Ghana
2020-10-27,0,0,a,0,0,Ghana
2020-10-28,0,0,a,0,0,Ghana
2020-10-29,0,0,a,0,0,Ghana
2020-10-30,4,1,a,0.25,0.0769230769230769,Ghana
